registered_pct,user_count,ramp,scenario,http_req_duration_avg,http_req_duration_p90,http_req_duration_p95,login_duration_avg,login_duration_p90,login_duration_p95,play_duration_avg,play_duration_p90,play_duration_p95,iteration_duration_avg,http_req_failed_value,checks_passes,checks_fails,vus_max,filename
100,10,False,login,81.84663969465647,70.12799,83.11073,81.84663969465647,70.12799,83.11073,,,,1084.5782534351144,0.0,262,0,10,result_100_percent_registered_users10_rampfalse_login.json
100,10,True,full,59.24907975077878,68.39368999999999,76.04165,54.9282401869159,68.525,76.4441,63.569919314641794,66.8207,74.0923,1120.9138523364484,0.0,642,0,10,result_100_percent_registered_users10_ramptrue_full.json
100,10,True,login,54.69441294117646,66.07922,73.40655000000001,54.69441294117646,66.07922,73.40655000000001,,,,1056.8370941176474,0.0,340,0,10,result_100_percent_registered_users10_ramptrue_login.json
100,25,False,full,73.99945829268295,64.71468,74.53325999999998,74.26247967479672,65.22378,80.05924999999995,73.73643691056911,64.06956,72.9046,1150.8154635772362,0.0,1230,0,25,result_100_percent_registered_users25_rampfalse_full.json
100,25,False,login,61.003606456456374,70.06255,78.292075,61.003606456456374,70.06255,78.292075,,,,1063.6265512012014,0.0,666,0,25,result_100_percent_registered_users25_rampfalse_login.json
100,25,True,full,70.27010440647483,68.0531,76.126655,74.16090269784168,68.39139,76.757485,66.37930611510794,67.584,75.34969000000002,1142.4857303956846,0.0,2224,0,25,result_100_percent_registered_users25_ramptrue_full.json
100,25,True,login,75.60960118946467,66.67814000000001,73.49336000000001,75.60960118946467,66.67814000000001,73.49336000000001,,,,1077.3467866610029,0.0,1177,0,25,result_100_percent_registered_users25_ramptrue_login.json
100,35,False,full,61.95156571753999,67.71405,76.1948,67.91916617312063,68.21590000000003,76.73719,55.98396526195897,67.11913000000001,73.87112499999999,1126.7228136674266,0.0,1756,0,35,result_100_percent_registered_users35_rampfalse_full.json
100,35,False,login,58.638394838709644,66.85678999999999,75.94919999999999,58.638394838709644,66.85678999999999,75.94919999999999,,,,1061.3082061290347,0.0,930,0,35,result_100_percent_registered_users35_rampfalse_login.json
100,35,True,full,63.1236605514316,68.34326,77.44611499999998,59.21344618239661,68.7379,80.50460000000001,67.03387492046676,68.00989999999999,75.86574999999999,1127.91704888653,0.0,3772,0,35,result_100_percent_registered_users35_ramptrue_full.json
100,35,True,login,56.21592337986044,65.3532,70.849925,56.21592337986044,65.3532,70.849925,,,,1057.7644965603204,0.0,2006,0,35,result_100_percent_registered_users35_ramptrue_login.json
100,50,False,full,67.42263003233622,67.89168000000001,78.03680499999999,73.00017396928038,68.32136000000001,77.54874000000001,61.8450860953921,67.29688000000002,78.09356,1137.7150223928886,0.0,2474,0,50,result_100_percent_registered_users50_rampfalse_full.json
100,50,False,login,77.37891639846747,69.88130000000001,80.75919999999999,77.37891639846747,69.88130000000001,80.75919999999999,,,,1080.0764553256704,0.0,1305,0,50,result_100_percent_registered_users50_rampfalse_login.json
100,50,True,full,66.00872422434375,64.59944999999999,71.992785,68.36683585918846,64.70707000000002,72.22957499999998,63.65061258949872,64.53621,71.89848999999998,1133.5307681384263,0.0,6704,0,50,result_100_percent_registered_users50_ramptrue_full.json
100,50,True,login,61.981883553185526,66.64696,75.56096,61.981883553185526,66.64696,75.56096,,,,1063.3189117597499,0.0,3563,0,50,result_100_percent_registered_users50_ramptrue_login.json
25,10,False,full,58.48294763779529,66.44005,74.47326,53.716644488189,65.45593000000001,73.5128,63.24925078740151,66.64169,75.96887499999998,1119.9341633858276,0.0,508,0,10,result_25_percent_registered_users10_rampfalse_full.json
25,10,False,login,72.70562264150944,66.30651999999999,76.9841,72.70562264150944,66.30651999999999,76.9841,,,,1075.4414739622637,0.0,265,0,10,result_25_percent_registered_users10_rampfalse_login.json
25,10,True,full,70.32984652996848,66.49243,76.989875,76.10935678233437,67.51442,77.45192,64.55033627760251,64.02404,76.485,1143.1273593059939,0.0,634,0,10,result_25_percent_registered_users10_ramptrue_full.json
25,10,True,login,52.69357441860466,63.212129999999995,71.00301499999995,52.69357441860466,63.212129999999995,71.00301499999995,,,,1054.8533552325587,0.0,344,0,10,result_25_percent_registered_users10_ramptrue_login.json
25,25,False,full,55.0358751572327,64.92789,73.173175,57.19949669811321,66.78665,74.50389999999999,52.87225361635221,64.17605,71.1472,1112.9101132075473,0.0,1272,0,25,result_25_percent_registered_users25_rampfalse_full.json
